DATE,DECISION_TIME,STATUS,REASON
2025-03-31,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-01,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-02,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-08,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-09,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-15,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-16,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-22,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-23,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-29,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-04-30,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-01,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-02,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-05,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-06,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-08,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-09,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-12,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-13,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-15,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-16,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-19,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-20,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-22,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-23,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-26,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-27,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-29,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-05-30,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-02,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-05,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-06,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-09,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-12,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-13,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-16,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-19,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-20,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-23,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-26,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-27,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-06-30,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-01,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-02,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-08,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-09,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-15,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-16,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-22,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-23,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-29,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-30,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-07-31,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-01,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-05,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-06,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-07,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-08,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-12,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-13,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-14,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-15,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-19,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-20,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-21,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-22,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-26,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-27,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-28,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-08-29,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-01,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-02,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-03,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-04,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-05,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-08,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-09,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-10,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-11,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-12,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-16,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-17,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-18,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-19,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-22,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-23,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-24,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-25,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-26,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-29,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
2025-09-30,09:10:00,PASS,LATEST_ALLOWED_BAR=09:09
